"","id","cs","subject_nr","resp_format","cs_valence","us_valence","cs_id","prerating","prerating_RT","postrating","postrating_RT","vm","rkg","vm_RT","rkg_RT","vm_correct","im_resp","im_opt","im_RT","im_correct","PD_practice_runs","PD_practice_correct","pd_RT","pd_resp","pd_set","material","cstype","PDprac_correct","PDprac_errors","ec","ec_abs","imcor","vmcor","vmconf","pdset","Proportion.Set1","Proportion.pleasant","pd_correct","pdcor","explicit","expl","RK_practice_runs","RK_practice_correct","RKprac_correct","RKprac_errors","conf","vmpos"
"34",1,"HW21.bmp","10","Control","neutral","negative","[cs_neutral_24]",12,2365,13,1728,"-1","G",6693,1050,TRUE,5,"2810.jpg",5228,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,1,-1,1,1,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"35",1,"HW23.bmp","10","Control","negative","negative","[cs_negative_8]",18,1723,19,1885,"-3","R",2093,1255,TRUE,1,"7023.jpg",3164,TRUE,NA,NA,NA,NA,2,"faces","positive",NA,NA,1,-1,1,1,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"36",1,"HW24.bmp","10","Control","negative","none","[cs_negative_4]",17,2823,16,2062,"-1","G",2242,6633,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","positive",NA,NA,-1,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"37",1,"HW29.bmp","10","Control","negative","none","[cs_negative_5]",17,1799,14,1822,"1","G",1946,1349,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","positive",NA,NA,-3,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"38",1,"HW35.bmp","10","Control","positive","negative","[cs_positive_7]",4,3824,5,2234,"-3","R",2009,4193,TRUE,2,"2520.jpg",1613,TRUE,NA,NA,NA,NA,2,"faces","negative",NA,NA,1,-1,1,1,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"39",1,"HW36.bmp","10","Control","negative","negative","[cs_negative_9]",18,2260,19,1755,"-3","R",1300,1089,TRUE,3,"9469.jpg",3647,TRUE,NA,NA,NA,NA,2,"faces","positive",NA,NA,1,-1,1,1,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"40",1,"HW44.bmp","10","Control","neutral","none","[cs_neutral_12]",10,1931,14,2998,"1","G",2849,1059,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,4,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"41",1,"HW47.bmp","10","Control","neutral","negative","[cs_neutral_18]",11,2282,12,1932,"-3","R",2239,1001,TRUE,3,"1505.jpg",2053,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,1,-1,1,1,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"42",1,"HW49.bmp","10","Control","negative","positive","[cs_negative_1]",16,2667,13,1540,"-1","G",2408,964,FALSE,7,"4100.jpg",6873,TRUE,NA,NA,NA,NA,2,"faces","positive",NA,NA,-3,-3,1,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"43",2,"HM02.bmp","100","Control","neutral","negative","[cs_neutral_24]",13,2773,14,2224,"2","R",1267,654,FALSE,5,"9010.jpg",12325,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,1,-1,1,0,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"44",2,"HM04.bmp","100","Control","negative","negative","[cs_negative_8]",17,4134,16,6430,"3","R",2787,812,FALSE,1,"2682.jpg",2145,TRUE,NA,NA,NA,NA,2,"faces","positive",NA,NA,-1,1,1,0,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"45",2,"HM05.bmp","100","Control","negative","negative","[cs_negative_9]",17,2082,17,1802,"3","R",1314,828,FALSE,1,"9440.jpg",2750,TRUE,NA,NA,NA,NA,2,"faces","positive",NA,NA,0,0,1,0,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"46",2,"HM06.bmp","100","Control","positive","negative","[cs_positive_9]",5,2183,0,2566,"-3","R",1360,1186,TRUE,5,"7023.jpg",1808,TRUE,NA,NA,NA,NA,2,"faces","negative",NA,NA,-5,5,1,1,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"47",2,"HM13.bmp","100","Control","positive","positive","[cs_positive_2]",3,3291,14,1955,"3","G",3403,1121,TRUE,5,"4535.jpg",7113,TRUE,NA,NA,NA,NA,2,"faces","negative",NA,NA,11,11,1,1,3,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,NA,NA
