"","id","cs","Instruction","Material","CS_Valence","US_Valence","Pairing","prerating","prerating_RT","postrating","postrating_RT","pdset","pdval","pd_RT","vmval","vmconf","vm_correct","vm_RT","RKG","rkg_RT","im_correct","im_RT"
"120","3","HW36.bmp","Inclusion","faces","positive","negative","paired",14,1995,12,1509,"Attitude","positive",2198,"positive",2,FALSE,3165,"K",1241,TRUE,2953
"121","3","HW40.bmp","Inclusion","faces","neutral","positive","paired",9,1578,11,1684,"Attitude","positive",3835,"negative",1,FALSE,4616,"G",1012,FALSE,7727
"122","3","HW41.bmp","Inclusion","faces","positive","negative","paired",13,1998,11,1887,"Attitude","positive",2618,"positive",1,FALSE,2828,"G",1056,FALSE,2128
"123","3","HW42.bmp","Inclusion","faces","neutral","positive","paired",9,3633,10,1738,"Memory","positive",7471,"positive",2,TRUE,5727,"R",1075,TRUE,2545
"124","3","HW44.bmp","Inclusion","faces","positive","negative","paired",13,1861,12,1808,"Attitude","positive",2345,"positive",2,FALSE,3144,"K",1059,FALSE,2519
"125","3","HW45.bmp","Inclusion","faces","neutral","positive","paired",9,2445,9,1643,"Memory","positive",12154,"negative",2,FALSE,7302,"K",1122,TRUE,5333
"126","3","HW50.bmp","Inclusion","faces","neutral","positive","paired",9,1991,11,1467,"Memory","negative",8014,"negative",2,FALSE,4276,"K",949,FALSE,10837
"127","4","1.png","Control","gogos","neutral","negative","paired",11,1858,12,1584,NA,NA,NA,"negative",1,TRUE,1186,"G",860,FALSE,3200
"128","4","10.png","Control","gogos","negative","none","nonpaired",4,1917,7,1849,NA,NA,NA,"positive",1,FALSE,1104,"G",883,NA,NA
"129","4","100.png","Control","gogos","negative","positive","paired",3,2855,9,2060,NA,NA,NA,"negative",1,FALSE,3540,"G",659,TRUE,1462
"130","4","11.png","Control","gogos","negative","positive","paired",3,1427,5,3825,NA,NA,NA,"negative",1,FALSE,2727,"G",1167,FALSE,1740
"131","4","12.png","Control","gogos","neutral","negative","paired",12,3863,13,2087,NA,NA,NA,"negative",3,TRUE,14375,"R",5397,TRUE,2376
"132","4","13.png","Control","gogos","neutral","negative","paired",12,1778,7,3128,NA,NA,NA,"positive",1,FALSE,1917,"G",1556,TRUE,3393
"133","4","14.png","Control","gogos","neutral","none","nonpaired",10,3723,10,3669,NA,NA,NA,"positive",1,FALSE,3962,"G",759,NA,NA
"134","4","15.png","Control","gogos","neutral","negative","paired",11,1821,13,1812,NA,NA,NA,"negative",1,TRUE,4772,"G",1028,TRUE,3289
"135","4","17.png","Control","gogos","negative","none","nonpaired",4,1714,5,3415,NA,NA,NA,"negative",1,FALSE,1192,"G",1111,NA,NA
"136","4","19.png","Control","gogos","neutral","negative","paired",12,2465,7,2538,NA,NA,NA,"positive",1,FALSE,7287,"K",3361,FALSE,3081
"137","4","21.png","Control","gogos","neutral","none","nonpaired",9,1951,4,1579,NA,NA,NA,"positive",1,FALSE,6355,"G",888,NA,NA
"138","4","26.png","Control","gogos","neutral","positive","paired",8,2305,10,1911,NA,NA,NA,"negative",1,FALSE,9611,"G",2604,FALSE,973
"139","4","32.png","Control","gogos","neutral","positive","paired",8,1890,7,1507,NA,NA,NA,"negative",1,FALSE,1108,"G",629,FALSE,1105
"140","4","33.png","Control","gogos","neutral","positive","paired",8,2583,7,2049,NA,NA,NA,"negative",1,FALSE,1324,"G",764,TRUE,1932
"141","4","35.png","Control","gogos","negative","none","nonpaired",3,4041,5,1741,NA,NA,NA,"negative",1,FALSE,6228,"G",1244,NA,NA
"142","4","38.png","Control","gogos","negative","negative","paired",4,1858,6,1890,NA,NA,NA,"negative",2,TRUE,4019,"G",1012,TRUE,16048
"143","4","40.png","Control","gogos","negative","negative","paired",4,4047,7,2407,NA,NA,NA,"negative",1,TRUE,4083,"G",853,FALSE,1435
